VARIABLES = "t_hat"
  "Max_u"
  "Max_p"
  "Max_Mach"
  "Max_omega_z"
  "Min_omega_z"
  "Max_nu_t"
  "delta_omega_0"
  "delta_theta_0"
  "Min_p"
  "Max_dudy"
  "Max_uv"
  "Max_TKE"
  "Int_TKE"
  "Int_Pk"
  "Int_duidxjtauij"
  "Int_dTKEdt"
  "Min_Q"
  "Max_Q"
  "Int_rhoE"
  "Int_KE1"
ZONE T="Vortex_DNS_Statistics_OpenSBLI"
I=301
5.9999999999999998e-01 6.5941061899884801e-01 1.0058963155067351e+00 1.3152575105482675e-01 2.7334186019430959e+01 -2.1392539585184603e-01 6.5059203244251327e-04 5.0701969201638146e+00 4.5896105580329625e+00 9.9183884820908363e-01 2.1995403379923804e+01 -1.3161907485061042e-02 3.6442513062827281e-02 1.4706539612045469e-03 6.5415763420339446e-01 3.5710984604828810e-01 1.6787686461319887e-01 -2.1708260416521739e+02 2.9229151416700068e+02 1.5652880762687400e+02 4.3343014873785518e-01
6.2000000000000000e-01 6.6794640139339145e-01 1.0060060611487394e+00 1.3314713857677191e-01 2.6657058655597886e+01 -1.9102418420957518e-01 6.7143128988820535e-04 5.2761509172417176e+00 4.8003742397800195e+00 9.9119778153459182e-01 2.1586422451540397e+01 -1.3348707180279048e-02 3.6360631704954537e-02 1.5034857796599982e-03 6.4314620653524190e-01 3.5626401218084897e-01 1.6028560988552579e-01 -2.2699540985275240e+02 2.9961021419151672e+02 1.5652878097502315e+02 4.3332857406966335e-01
6.4000000000000001e-01 6.7526225673549356e-01 1.0060585553108876e+00 1.3465502045106659e-01 2.6724179209876613e+01 -1.8311368700908026e-01 8.3145238303964882e-04 5.4965516348894106e+00 5.0178272921521359e+00 9.9046153612398524e-01 2.0796448844431101e+01 -1.3382730924575542e-02 3.6177264937431258e-02 1.5347203735746934e-03 6.3088080696482940e-01 3.5516163972297515e-01 1.5194143637172414e-01 -2.2994886906344192e+02 2.8114870485069321e+02 1.5652874943734631e+02 4.3322995357955379e-01
6.5999999999999992e-01 6.8336831277598864e-01 1.0061112650545987e+00 1.3621863877998769e-01 2.6709671700073965e+01 -2.1632573755570070e-01 7.1588798383661755e-04 5.7225800373025564e+00 5.2416664054325750e+00 9.8968741188079090e-01 2.0418692447549883e+01 -1.3378074076405769e-02 3.6178155551135113e-02 1.5642379706853871e-03 6.1809844208708919e-01 3.5374246803500531e-01 1.4327832119978304e-01 -2.1142199537752782e+02 3.0199719641338294e+02 1.5652871373145047e+02 4.3313313185256264e-01
6.7999999999999994e-01 6.8988088155134031e-01 1.0060277269667897e+00 1.3755744953603793e-01 2.6467779619801643e+01 -2.6532775783617252e-01 7.3056570752878303e-04 5.9417816180162193e+00 5.4715246584227994e+00 9.8898422233411054e-01 2.0008227552182262e+01 -1.3369334236387814e-02 3.6089622235696825e-02 1.5920120421155210e-03 6.0482166638430779e-01 3.5197384245912322e-01 1.3425624649100829e-01 -2.0247396150437538e+02 2.7833817967594666e+02 1.5652868617624526e+02 4.3303908899898785e-01
6.9999999999999996e-01 6.9597828062627265e-01 1.0057131364074969e+00 1.3890529207141500e-01 2.6716288175362958e+01 -2.3895993961273648e-01 8.2770021936295446e-04 6.1928411174211933e+00 5.7068455930499420e+00 9.8822207158266806e-01 1.9651188640314796e+01 -1.3400413025309362e-02 3.6171538089189312e-02 1.6179511571071373e-03 5.9007658241624128e-01 3.4986118725251381e-01 1.2559257306246097e-01 -2.1486283921306782e+02 2.7886564324074817e+02 1.5652867416965938e+02 4.3294240053196936e-01
7.1999999999999997e-01 7.0123772251361893e-01 1.0066599033195669e+00 1.3988034345320660e-01 2.6101276610199335e+01 -2.5222599348760921e-01 8.9263176327845375e-04 6.4150513027731222e+00 5.9479718067982059e+00 9.8775350601008249e-01 1.8949046254287943e+01 -1.3495680598281764e-02 3.5934746708253945e-02 1.6422108733702761e-03 5.7460445276418559e-01 3.4737174724541980e-01 1.1595721458183900e-01 -2.2065746102135600e+02 2.7502393732290818e+02 1.5652865802500708e+02 4.3284705287093866e-01
7.3999999999999999e-01 7.0655292169188555e-01 1.0055930349510847e+00 1.4098806365292979e-01 2.6445896730701332e+01 -2.1845000785197793e-01 7.8057071141203081e-04 6.6425199640261177e+00 6.1922745954036573e+00 9.8707244595558452e-01 1.8885324149804699e+01 -1.3446757922876992e-02 3.6044543460511287e-02 1.6644064453735258e-03 5.6000641449257016e-01 3.4455803365965099e-01 1.0809862636939625e-01 -1.9949368622980387e+02 2.7273726718884876e+02 1.5652862092284971e+02 4.3275075290796883e-01
7.6000000000000001e-01 7.1093545676935199e-01 1.0074110367844018e+00 1.4192730113581703e-01 2.6186585877319921e+01 -2.2320421395261913e-01 8.0237594278344487e-04 6.8426126698020386e+00 6.4387230406718956e+00 9.8599239591986987e-01 1.8291591721496349e+01 -1.3463654839766170e-02 3.6006772829633417e-02 1.6853570332502144e-03 5.4647503439846457e-01 3.4134999004862010e-01 9.8222643568753001e-02 -2.0136896807415866e+02 2.7243697294690696e+02 1.5652858382837158e+02 4.3265521654669215e-01
7.8000000000000003e-01 7.1866590352932735e-01 1.0075636258391063e+00 1.4342676715419853e-01 2.6469308609051375e+01 -2.2661190804242259e-01 8.3388867171037512e-04 7.0870876215198297e+00 6.6907946012312260e+00 9.8648166909677804e-01 1.8223642110315183e+01 -1.3387185650094360e-02 3.5690608662035904e-02 1.7036837328600889e-03 5.2818563592607282e-01 3.3779177024190954e-01 8.8065941227539968e-02 -1.8986113662320059e+02 2.7636022963355782e+02 1.5652855923042395e+02 4.3256756754121106e-01
8.0000000000000004e-01 7.2297700092127715e-01 1.0060809050479038e+00 1.4424779270267910e-01 2.6588905437239596e+01 -2.4980617485764114e-01 9.2522070517875202e-04 7.2796825874605222e+00 6.9419031421347430e+00 9.8501042753165780e-01 1.7844705561376351e+01 -1.3403727339829929e-02 3.5547683129637776e-02 1.7206948286977758e-03 5.1474890960824604e-01 3.3388714591965662e-01 8.0112845148332626e-02 -1.9786120903965369e+02 2.5749508010933738e+02 1.5652854003174900e+02 4.3247369472702013e-01
8.1999999999999995e-01 7.2401015603044860e-01 1.0057063558102033e+00 1.4443847141938104e-01 2.6084944647278434e+01 -2.6215506847896930e-01 8.6740735894686154e-04 7.4790323230999647e+00 7.1931509390707697e+00 9.8473981130364285e-01 1.7240931451880854e+01 -1.3552369448067675e-02 3.5152254914319302e-02 1.7357505500079223e-03 4.9965366185565280e-01 3.2964612493514595e-01 7.2100495430231504e-02 -1.8887615484556795e+02 2.5741182266828577e+02 1.5652852098971493e+02 4.3238634361851885e-01
8.4000000000000008e-01 7.2901007347896574e-01 1.0055299219030831e+00 1.4541071018479618e-01 2.6023190484629666e+01 -2.3914329219162930e-01 9.1132833747925059e-04 7.7018360217194317e+00 7.4394912542714113e+00 9.8386234513296456e-01 1.6871614792792311e+01 -1.3374147292452837e-02 3.4908317535113059e-02 1.7496207420768827e-03 4.8118052150082424e-01 3.2505650083981441e-01 6.5962954513551914e-02 -1.8542381468049692e+02 2.4871724062601109e+02 1.5652850224525150e+02 4.3229782765260422e-01
8.5999999999999999e-01 7.3061102959532953e-01 1.0079743148234401e+00 1.4576989767821166e-01 2.5857902820346371e+01 -2.5202657875714518e-01 1.0386007056409758e-03 7.9580885119341644e+00 7.6868588840365746e+00 9.8304185696584923e-01 1.6446074885500515e+01 -1.3354017451776881e-02 3.4642148877781574e-02 1.7620498508603899e-03 4.6904769438903010e-01 3.2011129965400509e-01 5.7753313643843070e-02 -1.8435535875336052e+02 2.5942034020253533e+02 1.5652848036610823e+02 4.3220896374413770e-01
8.8000000000000012e-01 7.3507941191541992e-01 1.0073914070241232e+00 1.4664564400892477e-01 2.5458417719809429e+01 -2.6564423477468835e-01 1.0720209536808328e-03 8.2255230078266930e+00 7.9331632676215742e+00 9.8301838132931307e-01 1.5985832040533751e+01 -1.3203883814875200e-02 3.4429540239844812e-02 1.7727781446849869e-03 4.5323998052246367e-01 3.1489964629911199e-01 5.0559724880164893e-02 -1.7964487155642979e+02 2.3971315588348091e+02 1.5652846043628583e+02 4.3212649061623681e-01
